Draw,Date,Result,Super Ball
revancha,2023-07-01,04-12-19-34-38,13
baloto,2023-06-28,12-16-32-38-43,11
revancha,2023-06-28,05-10-25-27-43,12
baloto,2023-06-24,08-15-23-24-42,14
revancha,2023-06-24,04-19-23-30-42,01
baloto,2023-06-21,09-25-27-31-42,04
revancha,2023-06-21,05-07-12-29-37,09
baloto,2023-06-17,09-11-13-35-43,07
revancha,2023-06-17,02-03-13-20-30,03
baloto,2023-06-14,03-11-14-39-40,01
revancha,2023-06-14,26-28-31-34-41,14
baloto,2023-06-10,09-13-21-38-43,11
revancha,2023-06-10,12-26-36-40-42,12
baloto,2023-06-07,01-09-16-19-31,16
revancha,2023-06-07,11-29-36-39-43,13
baloto,2023-06-03,09-27-30-39-41,10
revancha,2023-06-03,04-08-12-20-30,16
baloto,2023-05-31,02-05-23-40-43,07
revancha,2023-05-31,03-06-13-16-25,04
baloto,2023-05-27,06-10-21-24-33,02
revancha,2023-05-27,05-08-09-24-41,07
baloto,2023-05-24,01-06-27-29-39,08
revancha,2023-05-24,05-13-16-32-35,04
baloto,2023-05-20,03-04-23-35-42,07
revancha,2023-05-20,03-07-20-25-33,01
baloto,2023-05-17,03-05-15-25-29,11
revancha,2023-05-17,01-03-11-26-36,02
baloto,2023-05-13,06-14-33-35-39,14
revancha,2023-05-13,18-30-33-34-37,08
baloto,2023-05-10,13-14-15-25-32,14
revancha,2023-05-10,05-18-31-33-35,10
baloto,2023-05-06,08-26-27-28-42,07
revancha,2023-05-06,04-10-17-23-32,02
baloto,2023-05-03,09-13-22-39-41,16
revancha,2023-05-03,01-03-24-30-38,10
baloto,2023-04-29,07-20-26-33-39,07
revancha,2023-04-29,03-14-19-34-39,12
baloto,2023-04-26,04-10-13-27-43,02
revancha,2023-04-26,02-16-25-35-39,11
baloto,2023-04-22,17-18-32-37-43,06
revancha,2023-04-22,03-12-15-28-40,01
baloto,2023-04-19,15-18-19-32-36,08
revancha,2023-04-19,03-13-21-37-43,13
baloto,2023-04-15,19-21-28-29-30,12
revancha,2023-04-15,05-26-33-37-43,04
baloto,2023-04-12,11-20-24-29-35,02
revancha,2023-04-12,04-17-19-23-32,09
baloto,2023-04-08,03-05-12-19-20,05
revancha,2023-04-08,10-27-32-40-42,14
baloto,2023-04-05,04-05-07-36-37,01
revancha,2023-04-05,04-05-18-22-29,02
baloto,2023-04-01,01-04-11-22-25,06
revancha,2023-04-01,20-24-27-33-40,12
baloto,2023-03-29,21-22-23-31-39,06
revancha,2023-03-29,14-16-24-29-30,03
baloto,2023-03-25,04-17-24-27-40,04
revancha,2023-03-25,07-08-16-19-30,05
baloto,2023-03-22,01-16-21-34-35,14
revancha,2023-03-22,02-20-23-27-37,08
baloto,2023-03-18,02-15-16-30-37,03
revancha,2023-03-18,01-05-09-19-31,13
baloto,2023-03-15,02-04-18-23-39,05
revancha,2023-03-15,03-07-16-33-34,03
baloto,2023-03-11,09-13-15-27-31,15
revancha,2023-03-11,03-07-24-33-40,14
baloto,2023-03-08,24-26-35-36-41,07
revancha,2023-03-08,23-30-36-37-40,11
baloto,2023-03-04,04-05-12-24-33,12
revancha,2023-03-04,01-05-11-28-31,15
baloto,2023-03-01,16-23-36-39-42,11
revancha,2023-03-01,01-12-38-39-41,16
baloto,2023-02-25,12-14-20-32-35,09
revancha,2023-02-25,20-26-29-37-38,12
baloto,2023-02-22,06-08-13-14-22,12
revancha,2023-02-22,10-16-26-32-35,14
baloto,2023-02-18,07-20-25-30-38,04
